Year,Code,Waste,WstOper,Value
1998,33,5,2,-1
1998,33,5,3,-1
1998,33,6,1,-1
1998,33,6,2,-1
1998,33,6,3,-1
1998,33,7,1,3513000
1998,33,7,2,1576000
1998,33,7,3,1576000
1998,33,8,1,0
1998,33,8,2,0
1998,33,8,3,0
1998,385,0,1,-1
1998,385,0,2,-1
1998,385,0,3,-1
1998,385,1,1,-1
1998,385,1,2,-1
1998,385,1,3,-1
1998,385,2,1,-1
1998,385,2,2,-1
1998,385,2,3,-1
1998,385,3,1,-1
1998,385,3,2,-1
1998,385,3,3,-1
1998,385,4,1,-1
1998,385,4,2,-1
1998,385,4,3,-1
1998,385,5,1,-1
1998,385,5,2,-1
1998,385,5,3,-1
1998,385,6,1,-1
1998,385,6,2,-1
1998,385,6,3,-1
1998,385,7,1,-1
1998,385,7,2,-1
1998,385,7,3,-1
1998,385,8,1,-1
1998,385,8,2,-1
1998,385,8,3,-1
1998,39,0,1,10846000
1998,39,0,2,3658940
1998,39,0,3,3422940
1998,39,1,1,4023000
1998,39,1,2,1610000
1998,39,1,3,1492000
1998,39,2,1,1800000
1998,39,2,2,321800
1998,39,2,3,203800
1998,39,3,1,2050000
1998,39,3,2,880000
1998,39,3,3,880000
1998,39,4,1,773000
1998,39,4,2,34940
1998,39,4,3,34940
1998,39,5,1,57000
1998,39,5,2,7940
1998,39,5,3,7940
1998,39,6,1,716000
